seed,round,agent_name,agent_role,agent_action,forecast_demand,demand_true,demand_obs,trend_component,season_component,shock_component,noise_component,market_avg_price,market_total_sales,inventory_start,reputation_start,rep_delivery_start,rep_pricing_start,rep_cooperation_start,price,quantity,available_supply,attractiveness,demand_share,allocated_demand,shortage_pre_transfer,surplus_pre_transfer,transfer_in,transfer_out,transfer_cost,transfer_revenue,coop_accept_rate,realized_sales,shortage_post_transfer,inventory_end,obsolescence_units,revenue,prod_cost,holding_cost,obsolescence_cost,sla_penalty,menu_cost,profit,cum_profit,service_rate,help_ratio,dump_flag,default_flag,rep_delivery_end,rep_pricing_end,rep_cooperation_end,reputation_end
7,0,Hyperscaler,hyperscaler,forecast=184;price=4.00;quantity=100,184,181,184,180.0,2.9552020666133956,0.0,-1.791162019133203,5.2,177.05079463843342,30.0,0.65,0.65,0.65,0.65,4.0,100,130.0,-1.9699999999999998,0.5840819993894985,105.71884188949922,0.0,24.281158110500783,0.0,0.0,0.0,0.0,0.0,105.71884188949922,0.0,18.210868582875587,6.070289527625196,422.87536755799687,450.0,1.8210868582875588,1.517572381906299,0.0,0.011999999999999993,-30.47529168219699,-30.47529168219699,1.0,0.0,1,0,0.7375,0.48750000000000004,0.48750000000000004,0.6125
7,0,PremiumCloud,premium,forecast=184;price=6.60;quantity=10,184,181,184,180.0,2.9552020666133956,0.0,-1.791162019133203,5.2,177.05079463843342,20.0,0.8,0.8,0.8,0.8,6.6,10,30.0,-3.3599999999999994,0.1454804019278132,26.33195274893419,0.0,3.6680472510658113,0.0,0.0,0.0,0.0,0.0,26.33195274893419,0.0,2.934437800852649,0.7336094502131623,173.79088814296563,35.0,0.23475502406821191,0.14672189004263245,0.0,0.023999999999999987,138.38541122885476,138.38541122885476,1.0,0.0,0,0,0.8500000000000001,0.8500000000000001,0.6000000000000001,0.8
7,0,SpotBroker,spot,forecast=184;price=5.00;quantity=30,184,181,184,180.0,2.9552020666133956,0.0,-1.791162019133203,5.2,177.05079463843342,15.0,0.55,0.55,0.55,0.55,5.0,30,45.0,-2.74,0.27043759868268835,48.94920536156659,3.949205361566591,0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.949205361566591,0.0,0.0,225.0,115.2,0.0,0.0,5.133966970036568,0.0029999999999999892,104.66303302996343,104.66303302996343,0.91932033763581,0.0,0,0,0.6423300844089526,0.6625000000000001,0.55,0.6299150422044762
7,1,Hyperscaler,hyperscaler,forecast=184;price=4.00;quantity=110,184,197,195,180.6,18.94984674310608,0.0,-2.3886960620916744,5.133333333333333,197.0,18.210868582875577,0.6125,0.7375,0.48750000000000004,0.48750000000000004,4.0,110,128.21086858287558,-2.0149999999999997,0.5336986625387197,105.13863652012778,0.0,23.0722320627478,0.0,0.0,0.0,0.0,0.0,105.13863652012778,0.0,17.30417404706085,5.76805801568695,420.5545460805111,511.5,1.7304174047060852,1.4420145039217376,0.0,0.0,-94.11788582811673,-124.59317751031372,1.0,0.0,1,0,0.8031250000000001,0.36562500000000003,0.48750000000000004,0.6087500000000001
7,1,PremiumCloud,premium,forecast=184;price=6.60;quantity=30,184,197,195,180.6,18.94984674310608,0.0,-2.3886960620916744,5.133333333333333,197.0,2.934437800852649,0.8,0.8500000000000001,0.8500000000000001,0.6000000000000001,6.6,30,32.93443780085265,-3.3599999999999994,0.13904969362309774,27.392789643750255,0.0,5.541648157102394,0.0,0.0,0.0,0.0,0.0,27.392789643750255,0.0,4.433318525681915,1.1083296314204787,180.79241164875168,111.0,0.35466548205455317,0.22166592628409576,0.0,0.0,69.21608024041304,207.60149146926778,1.0,0.0,0,0,0.8875000000000001,0.8875000000000001,0.6000000000000001,0.83
7,1,SpotBroker,spot,forecast=184;price=4.80;quantity=70,184,197,195,180.6,18.94984674310608,0.0,-2.3886960620916744,5.133333333333333,197.0,0.0,0.6299150422044762,0.6423300844089526,0.6625000000000001,0.55,4.8,70,70.0,-2.504101949354628,0.32725164383818256,64.46857383612196,0.0,5.531426163878038,0.0,0.0,0.0,0.0,0.0,64.46857383612196,0.0,4.3145124078248696,1.2169137560531684,309.44915441338543,291.2,0.5177414889389843,0.26772102633169703,0.0,0.006000000000000005,17.45769189811476,122.12072492807819,1.0,0.0,0,0,0.7317475633067144,0.7468750000000001,0.55,0.6999362816533572
7,2,Hyperscaler,hyperscaler,forecast=198;price=4.00;quantity=120,198,198,197,181.2,24.134117409591216,0.0,-7.585040560200625,5.3999999999999995,198.0,17.304174047060854,0.6087500000000001,0.8031250000000001,0.36562500000000003,0.48750000000000004,4.0,120,137.30417404706085,-2.0195,0.584325358760313,115.69642103454197,0.0,21.607753012518884,0.0,0.0,0.0,0.0,0.0,115.69642103454197,0.0,16.205814759389163,5.401938253129721,462.7856841381679,576.0,1.6205814759389163,1.3504845632824303,0.0,0.0,-116.18538190105347,-240.7785594113672,1.0,0.0,1,0,0.8523437500000001,0.27421875,0.48750000000000004,0.6059375
7,2,PremiumCloud,premium,forecast=193;price=7.00;quantity=30,193,198,197,181.2,24.134117409591216,0.0,-7.585040560200625,5.3999999999999995,198.0,4.433318525681912,0.83,0.8875000000000001,0.8875000000000001,0.6000000000000001,7.0,30,34.43331852568191,-3.6039999999999996,0.11981608580849641,23.72358499008229,0.0,10.709733535599621,0.0,0.0,0.0,0.0,0.0,23.72358499008229,0.0,8.567786828479697,2.1419467071199243,166.06509493057604,111.0,0.6854229462783757,0.4283893414239849,0.0,0.008000000000000007,53.94328264287367,261.54477411214145,1.0,0.0,0,0,0.915625,0.915625,0.6000000000000001,0.8524999999999999
7,2,SpotBroker,spot,forecast=200;price=5.20;quantity=60,200,198,197,181.2,24.134117409591216,0.0,-7.585040560200625,5.3999999999999995,198.0,4.314512407824864,0.6999362816533572,0.7317475633067144,0.7468750000000001,0.55,5.2,60,64.31451240782486,-2.700076462015971,0.2958585554311906,58.57999397537574,0.0,5.734518432449121,0.0,0.0,0.0,0.0,0.0,58.57999397537574,0.0,4.4729243773103144,1.2615940551388067,304.61596867195385,244.8,0.5367509252772377,0.27755069213053746,0.0,0.01200000000000001,58.98966705454606,181.11039198262426,1.0,0.0,0,0,0.7988106724800358,0.81015625,0.55,0.7524522112400179
7,3,Hyperscaler,hyperscaler,forecast=198;price=4.00;quantity=120,198,202,204,181.8,15.816042990667249,0.0,4.370153414813965,5.466666666666666,202.0,16.20581475938917,0.6059375,0.8523437500000001,0.27421875,0.48750000000000004,4.0,120,136.20581475938917,-2.022875,0.594611865620332,120.11159685530706,0.0,16.094217904082115,0.0,0.0,0.0,0.0,0.0,120.11159685530706,0.0,12.070663428061586,4.023554476020529,480.4463874212282,576.0,1.2070663428061588,1.0058886190051322,0.0,0.0,-97.76656754058307,-338.5451269519503,1.0,0.0,1,0,0.8892578125,0.20566406250000002,0.48750000000000004,0.603828125
